,node,type
327,http://www.wikidata.org/entity/Q21233416,human
328,http://www.wikidata.org/entity/Q110546665,human
329,http://www.wikidata.org/entity/Q110558710,human
330,http://www.wikidata.org/entity/Q110417610,human
331,http://www.wikidata.org/entity/Q110496410,human
332,http://www.wikidata.org/entity/Q110040029,human
333,http://www.wikidata.org/entity/Q13405921,human
334,http://www.wikidata.org/entity/Q14629265,human
335,http://www.wikidata.org/entity/Q15991529,human
336,http://www.wikidata.org/entity/Q47649348,human
337,http://www.wikidata.org/entity/Q43399825,human
338,http://www.wikidata.org/entity/Q44480089,human
339,http://www.wikidata.org/entity/Q43272836,human
340,http://www.wikidata.org/entity/Q16202905,human
341,http://www.wikidata.org/entity/Q7088396,human
342,http://www.wikidata.org/entity/Q8262098,human
343,http://www.wikidata.org/entity/Q111020242,human
344,http://www.wikidata.org/entity/Q107999315,human
345,http://www.wikidata.org/entity/Q50958926,human
346,http://www.wikidata.org/entity/Q48032489,human
347,http://www.wikidata.org/entity/Q55417909,human
348,http://www.wikidata.org/entity/Q18145780,human
349,http://www.wikidata.org/entity/Q15137813,human
350,http://www.wikidata.org/entity/Q111120903,human
351,http://www.wikidata.org/entity/Q111215194,human
352,http://www.wikidata.org/entity/Q7365461,human
353,http://www.wikidata.org/entity/Q109912251,human
354,http://www.wikidata.org/entity/Q15122243,human
355,http://www.wikidata.org/entity/Q18685733,human
356,http://www.wikidata.org/entity/Q10316596,human
357,http://www.wikidata.org/entity/Q21074527,human
358,http://www.wikidata.org/entity/Q19975862,human
359,http://www.wikidata.org/entity/Q17153342,human
360,http://www.wikidata.org/entity/Q28967963,human
361,http://www.wikidata.org/entity/Q29966246,human
362,http://www.wikidata.org/entity/Q28839723,human
363,http://www.wikidata.org/entity/Q111979216,human
364,http://www.wikidata.org/entity/Q112158803,human
365,http://www.wikidata.org/entity/Q112159032,human
366,http://www.wikidata.org/entity/Q111724893,human
367,http://www.wikidata.org/entity/Q23772371,human
368,http://www.wikidata.org/entity/Q16220992,human
369,http://www.wikidata.org/entity/Q24431057,human
370,http://www.wikidata.org/entity/Q24955870,human
371,http://www.wikidata.org/entity/Q61313174,human
372,http://www.wikidata.org/entity/Q60737294,human
373,http://www.wikidata.org/entity/Q16996758,human
374,http://www.wikidata.org/entity/Q110716404,human
375,http://www.wikidata.org/entity/Q110911362,human
376,http://www.wikidata.org/entity/Q26251722,human
377,http://www.wikidata.org/entity/Q27909514,human
378,http://www.wikidata.org/entity/Q27990320,human
379,http://www.wikidata.org/entity/Q19202167,human
380,http://www.wikidata.org/entity/Q19843966,human
381,http://www.wikidata.org/entity/Q62287294,human
382,http://www.wikidata.org/entity/Q62140662,human
383,http://www.wikidata.org/entity/Q29860177,human
384,http://www.wikidata.org/entity/Q27924794,human
385,http://www.wikidata.org/entity/Q25298820,human
386,http://www.wikidata.org/entity/Q30086738,human
387,http://www.wikidata.org/entity/Q111011426,human
388,http://www.wikidata.org/entity/Q60458891,human
389,http://www.wikidata.org/entity/Q57941396,human
390,http://www.wikidata.org/entity/Q63258426,human
391,http://www.wikidata.org/entity/Q62692624,human
392,http://www.wikidata.org/entity/Q62004796,human
393,http://www.wikidata.org/entity/Q56590532,human
394,http://www.wikidata.org/entity/Q30165113,human
395,http://www.wikidata.org/entity/Q58619951,human
396,http://www.wikidata.org/entity/Q27999556,human
397,http://www.wikidata.org/entity/Q33125106,human
398,http://www.wikidata.org/entity/Q41360496,human
399,http://www.wikidata.org/entity/Q37022934,human
400,http://www.wikidata.org/entity/Q112238263,human
401,http://www.wikidata.org/entity/Q112270341,human
402,http://www.wikidata.org/entity/Q61983405,human
403,http://www.wikidata.org/entity/Q112219949,human
404,http://www.wikidata.org/entity/Q42290302,human
405,http://www.wikidata.org/entity/Q111589523,human
406,http://www.wikidata.org/entity/Q111383550,human
407,http://www.wikidata.org/entity/Q21058405,human
408,http://www.wikidata.org/entity/Q30127847,human
409,http://www.wikidata.org/entity/Q43379227,human
410,http://www.wikidata.org/entity/Q106978773,human
411,http://www.wikidata.org/entity/Q107377136,human
412,http://www.wikidata.org/entity/Q106936955,human
413,http://www.wikidata.org/entity/Q48471567,human
414,http://www.wikidata.org/entity/Q47464949,human
415,http://www.wikidata.org/entity/Q55830839,human
416,http://www.wikidata.org/entity/Q83677006,human
417,http://www.wikidata.org/entity/Q81008853,human
418,http://www.wikidata.org/entity/Q105549438,human
419,http://www.wikidata.org/entity/Q102338984,human
420,http://www.wikidata.org/entity/Q105416230,human
421,http://www.wikidata.org/entity/Q64729746,human
422,http://www.wikidata.org/entity/Q63243005,human
423,http://www.wikidata.org/entity/Q63252683,human
424,http://www.wikidata.org/entity/Q67090227,human
425,http://www.wikidata.org/entity/Q63883179,human
426,http://www.wikidata.org/entity/Q61942756,human
427,http://www.wikidata.org/entity/Q83796400,human
428,http://www.wikidata.org/entity/Q86919408,human
429,http://www.wikidata.org/entity/Q51724798,human
430,http://www.wikidata.org/entity/Q48688208,human
431,http://www.wikidata.org/entity/Q98969277,human
432,http://www.wikidata.org/entity/Q94140451,human
